dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
wdbc,0,285,228,no se sobremuestrea,sin_faltante(actual>=objetivo),0,455,455,0.626374,0.626374,,,,,,,,,75.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-08-20T00:20:18.274574
wdbc,1,170,228,sobremuestreada,ok,58,455,513,0.373626,0.444444,170.0,140.0,0.02142857142857143,0.14480810666223778,0.0811764705882353,2.0,0.0,0.0,75.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-08-20T00:20:18.481260
