dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
heart,RandomForest,25,25,entropia,0.5796471953610066,0.3780844155844156,0.37432553669278806,0.3713327745180218
heart,RandomForest,50,25,entropia,0.5796471953610066,0.3780844155844156,0.37432553669278806,0.3713327745180218
heart,RandomForest,75,25,entropia,0.5796471953610066,0.3780844155844156,0.37432553669278806,0.3713327745180218
heart,RandomForest,75,75,entropia,0.5319525010508618,0.3027597402597403,0.30399703826712554,0.29853862212943627
heart,RandomForest,50,75,entropia,0.5319525010508618,0.3027597402597403,0.30399703826712554,0.29853862212943627
heart,RandomForest,25,75,entropia,0.5319525010508618,0.3027597402597403,0.30399703826712554,0.29853862212943627
heart,RandomForest,50,50,entropia,0.5244550770866561,0.2970779220779221,0.3005045199126416,0.29503916449086154
heart,RandomForest,75,50,entropia,0.5244550770866561,0.2970779220779221,0.3005045199126416,0.29503916449086154
heart,RandomForest,25,50,entropia,0.5244550770866561,0.2970779220779221,0.3005045199126416,0.29503916449086154
heart,RandomForest,75,75,proporcion,0.4986145236145236,0.25868506493506493,0.2631714306298217,0.24927815206929738
heart,RandomForest,25,75,proporcion,0.4986145236145236,0.25868506493506493,0.2631714306298217,0.24927815206929738
heart,RandomForest,50,75,proporcion,0.4986145236145236,0.25868506493506493,0.2631714306298217,0.24927815206929738
heart,RandomForest,25,25,proporcion,0.487468671679198,0.24829545454545454,0.2520975024384732,0.23529411764705888
heart,RandomForest,50,25,proporcion,0.487468671679198,0.24829545454545454,0.2520975024384732,0.23529411764705888
heart,RandomForest,75,25,proporcion,0.487468671679198,0.24829545454545454,0.2520975024384732,0.23529411764705888
heart,RandomForest,25,50,proporcion,0.4474684735554301,0.22386363636363638,0.1787059216358535,0.16292974588938702
heart,RandomForest,50,50,proporcion,0.4474684735554301,0.22386363636363638,0.1787059216358535,0.16292974588938702
heart,RandomForest,75,50,proporcion,0.4474684735554301,0.22386363636363638,0.1787059216358535,0.16292974588938702
