dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,gap_f1_macro,search_time_sec,n_jobs_search
glass,foldsafe,pcsmote,50,50,entropia,149,65,9,False,5,10,RandomForest,"{'clf__bootstrap': True, 'clf__ccp_alpha': 0.006099966577826209, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 199, 'sampler__criterio_pureza': 'entropia', 'sampler__percentil_densidad': 50, 'sampler__percentil_riesgo': 50}",0.7470308346624136,0.7855723905723905,0.6978662601009556,0.6939408963518303,0.7710041592394533,0.8141936968023925,0.7366707305536676,0.7336065573770492,-0.023973324577039712,5.162,4
heart,foldsafe,pcsmote,25,25,entropia,207,90,13,False,5,10,RandomForest,"{'clf__bootstrap': True, 'clf__ccp_alpha': 0.008948273504276488, 'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 339, 'sampler__criterio_pureza': 'entropia', 'sampler__percentil_densidad': 25, 'sampler__percentil_riesgo': 25}",0.38116166056166056,0.38839412761151887,0.36460757614176337,0.3594787382437611,0.30188500388500394,0.3170454545454545,0.310127402863315,0.303985722784057,0.07927665667665662,6.798,4
shuttle,foldsafe,pcsmote,50,50,entropia,40600,17400,9,True,2,5,RandomForest,"{'clf__bootstrap': True, 'clf__ccp_alpha': 0.008599404067363205, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__max_samples': 0.5292732168433758, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 209, 'sampler__criterio_pureza': 'entropia', 'sampler__percentil_densidad': 50, 'sampler__percentil_riesgo': 50}",0.8758897435997641,0.9139965002776066,0.9958590831811864,0.9958517196829414,0.8734175454209219,0.9989627175135257,0.9950118907069272,0.9950029574172949,0.0024721981788422553,359.214,1
wdbc,foldsafe,pcsmote,75,50,entropia,398,171,30,False,5,10,RandomForest,"{'clf__bootstrap': True, 'clf__ccp_alpha': 0.0009997491581800288, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 15, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 9, 'clf__n_estimators': 301, 'sampler__criterio_pureza': 'entropia', 'sampler__percentil_densidad': 75, 'sampler__percentil_riesgo': 50}",0.9410071429824113,0.9418620689655173,0.8856120210143079,0.8823242500162124,0.9555629802873371,0.9484521028037383,0.9130465485530433,0.9112083673318003,-0.014555837304925823,10.04,4
