dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
ecoli,XGBoost,50,50,proporcion,0.9206278163439289,0.933446223316913,0.8821179157094413,0.8801762114537445
ecoli,XGBoost,25,50,proporcion,0.9206278163439289,0.933446223316913,0.8821179157094413,0.8801762114537445
ecoli,XGBoost,75,50,proporcion,0.9206278163439289,0.933446223316913,0.8821179157094413,0.8801762114537445
ecoli,XGBoost,75,75,proporcion,0.883755056487298,0.8992200328407224,0.8406983092155421,0.839622641509434
ecoli,XGBoost,50,75,proporcion,0.883755056487298,0.8992200328407224,0.8406983092155421,0.839622641509434
ecoli,XGBoost,25,75,proporcion,0.883755056487298,0.8992200328407224,0.8406983092155421,0.839622641509434
ecoli,XGBoost,75,75,entropia,0.8662037660220456,0.8975266830870279,0.8257199198658985,0.82031708749266
ecoli,XGBoost,25,75,entropia,0.8662037660220456,0.8975266830870279,0.8257199198658985,0.82031708749266
ecoli,XGBoost,50,75,entropia,0.8662037660220456,0.8975266830870279,0.8257199198658985,0.82031708749266
ecoli,XGBoost,75,50,entropia,0.8652645943667615,0.9155890804597702,0.8303151952673786,0.821730265074279
ecoli,XGBoost,50,50,entropia,0.8652645943667615,0.9155890804597702,0.8303151952673786,0.821730265074279
ecoli,XGBoost,25,50,entropia,0.8652645943667615,0.9155890804597702,0.8303151952673786,0.821730265074279
ecoli,XGBoost,75,25,proporcion,0.8576957098628926,0.8870447081653978,0.8049046949398319,0.799882283696292
ecoli,XGBoost,25,25,proporcion,0.8576957098628926,0.8870447081653978,0.8049046949398319,0.799882283696292
ecoli,XGBoost,50,25,proporcion,0.8576957098628926,0.8870447081653978,0.8049046949398319,0.799882283696292
ecoli,XGBoost,25,25,entropia,0.8548426426253186,0.8917795566502463,0.8083611733055399,0.8016336056009334
ecoli,XGBoost,50,25,entropia,0.8548426426253186,0.8917795566502463,0.8083611733055399,0.8016336056009334
ecoli,XGBoost,75,25,entropia,0.8548426426253186,0.8917795566502463,0.8083611733055399,0.8016336056009334
