dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search,halving_n_resources,halving_n_candidates
wdbc,aumentado,pcsmote,25,50,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9686617697512541,,,,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,0.53,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,25,50,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.481,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,25,75,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9733767660910517,,,,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.554,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,25,75,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.517,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,25,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9663189409411356,,,,0.9712773998488284,0.9642857142857143,0.9441549509633318,0.9425981873111783,0.479,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,25,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.59,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,50,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9686617697512541,,,,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,0.619,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,50,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.487,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,75,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9733767660910517,,,,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.562,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,50,75,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.494,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,25,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9663189409411356,,,,0.9712773998488284,0.9642857142857143,0.9441549509633318,0.9425981873111783,0.549,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,25,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.572,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,50,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9686617697512541,,,,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,0.666,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,50,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.554,2,"[45, 135, 405]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,75,entropia,513,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9733767660910517,,,,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.694,2,"[51, 153, 459]","[10, 4, 2]"
wdbc,aumentado,pcsmote,75,75,proporcion,455,114,30,False,5,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9708398510507769,,,,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.611,2,"[45, 135, 405]","[10, 4, 2]"
glass,base,base,NA,NA,NA,149,65,9,False,5,SVM,"{'classifier__C': np.float64(21.42302175774105), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0003727925903376988), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.4065223665223665,,,,0.6751322751322751,0.7271221532091098,0.5159134669326557,0.4965743223115878,0.389,2,"[20, 60]","[7, 3]"
heart,base,base,NA,NA,NA,207,90,13,False,5,SVM,"{'classifier__C': np.float64(0.0010847546640130735), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.0014618962793704966), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.19810740557715242,,,,0.19066666666666665,0.22386363636363632,0.11813353038951512,0.09176249706641626,0.512,2,"[23, 69, 207]","[9, 3, 1]"
shuttle,base,base,NA,NA,NA,40600,17400,9,True,3,SVM,"{'classifier__C': np.float64(6.1111501174320875), 'classifier__class_weight': 'balanced', 'classifier__gamma': 'scale', 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.529554252881734,,,,0.4745430039412511,0.4641528126152688,0.522336809120439,0.5177517766374906,42.186,1,"[4060, 12180, 36540]","[10, 4, 2]"
wdbc,base,base,NA,NA,NA,398,171,30,False,5,SVM,"{'classifier__C': np.float64(0.004982752357076452), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.7852755494724247), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9366153457601392,,,,0.9296585767174002,0.9203417056074766,0.8630272328686374,0.8595744680851064,0.647,2,"[39, 117, 351]","[10, 4, 2]"
