dataset,tecnica,modelo,f1_score,balanced_accuracy,mcc,cohen_kappa,densidad,riesgo,pureza
ecoli,base,SVM,0.915266106442577,0.9241071428571428,0.8833489823697378,0.8791469194312796,,,
ecoli,pcsmote,SVM,0.9435107376283846,0.9583333333333334,0.9238258899176772,0.919431279620853,50.0,50.0,proporcion
