dataset,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
ecoli,25,25,proporcion,0.9150081085065604,0.9421695402298852,0.8854543921523537,0.8799293702177752
wdbc,50,50,entropia,0.9737469960380176,0.9742063492063492,0.9438975339262832,0.9437314906219152
glass,25,50,entropia,0.7866087400971122,0.8253968253968255,0.7234037719038247,0.721782890007189
heart,25,25,entropia,0.5796471953610066,0.3780844155844156,0.374325536692788,0.3713327745180218
