dataset,modelo,densidad,riesgo,pureza,f1_score,balanced_accuracy,mcc,cohen_kappa
ecoli,LogisticRegression,25,25,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,25,25,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,25,50,entropia,0.8510689928145172,0.7489224137931035,0.8153699755381745,0.8024978216671508
ecoli,LogisticRegression,25,50,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,25,75,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,25,75,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,50,25,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,50,25,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,50,50,entropia,0.8510689928145172,0.7489224137931035,0.8153699755381745,0.8024978216671508
ecoli,LogisticRegression,50,50,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,50,75,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,50,75,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,75,25,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,75,25,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,75,50,entropia,0.8510689928145172,0.7489224137931035,0.8153699755381745,0.8024978216671508
ecoli,LogisticRegression,75,50,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
ecoli,LogisticRegression,75,75,entropia,0.8098492631740714,0.7222766457680251,0.7584817891197921,0.7460499856363114
ecoli,LogisticRegression,75,75,proporcion,0.7870118471791899,0.5926724137931034,0.7552065783328635,0.7393867924528301
