dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
glass,1,56,48,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,171,171,0.327485,0.327485,,,,,,,,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.356855
glass,2,61,48,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,171,171,0.356725,0.356725,,,,,,,,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.356855
glass,3,14,48,sobremuestreada,insuficientes_filtradas(<k+1),34,34,False,False,0,pre_split,0,171,171,0.081871,0.081871,14.0,1.0,0.6,0.0,0.7142857142857142,4.071428571428571,1.0,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.365792
glass,5,10,48,sobremuestreada,insuficientes_filtradas(<k+1),38,38,False,False,0,pre_split,0,171,171,0.05848,0.05848,10.0,2.0,0.5,0.09999999999999998,0.08,4.0,0.2,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.368770
glass,6,7,48,sobremuestreada,insuficientes_filtradas(<k+1),41,41,False,False,0,pre_split,0,171,171,0.040936,0.040936,7.0,2.0,0.5,0.09999999999999998,0.34285714285714286,4.0,0.6,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.378301
glass,7,23,48,sobremuestreada,insuficientes_filtradas(<k+1),25,25,False,False,0,pre_split,0,171,171,0.134503,0.134503,23.0,0.0,,,0.6869565217391305,4.0,1.0,,75.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-30T15:28:46.378845
