dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
shuttle,1,36469,29175,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,46400,46400,0.78597,0.78597,,,,,,,,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:09:48.394185
shuttle,2,40,29175,sobremuestreada,insuficientes_filtradas(<k+1),29135,29135,False,False,0,pre_split,0,46400,46400,0.000862,0.000862,40.0,5.0,0.43999999999999995,0.07999999999999999,0.75,4.0,0.6,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:09:48.832989
shuttle,3,137,29175,sobremuestreada,ok,29038,29038,False,False,1,pre_split,29038,46400,75438,0.002953,0.386741,137.0,9.0,0.5333333333333333,0.09428090415820631,0.7503649635036496,4.0,0.8,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:09:56.444077
shuttle,4,7122,29175,sobremuestreada,insuficientes_filtradas(<k+1),22053,22053,False,False,0,pre_split,0,46400,75438,0.153491,0.094409,7122.0,1.0,0.4,0.0,0.7499859590002808,4.061078348778433,0.6,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:10:04.669935
shuttle,5,2614,29175,sobremuestreada,insuficientes_filtradas(<k+1),26561,26561,False,False,0,pre_split,0,46400,75438,0.056336,0.034651,2614.0,2.0,0.6,0.0,0.7499617444529457,4.044758990053558,0.6,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:10:07.966780
shuttle,6,8,29175,sobremuestreada,insuficientes_filtradas(<k+1),29167,29167,False,False,0,pre_split,0,46400,75438,0.000172,0.000106,8.0,5.0,0.44000000000000006,0.07999999999999999,0.75,4.0,0.75,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:10:08.326071
shuttle,7,10,29175,sobremuestreada,insuficientes_filtradas(<k+1),29165,29165,False,False,0,pre_split,0,46400,75438,0.000216,0.000133,10.0,5.0,0.43999999999999995,0.07999999999999999,0.74,4.0,0.55,,25.0,75.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:10:08.646832
