dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,metric,timestamp
wdbc,0,261,208,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,411,411,0.635036,0.635036,,,,,,,,,50.0,75.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:44:15.416433
wdbc,1,150,208,sobremuestreada,ok,58,58,False,False,1,pre_split,58,411,469,0.364964,0.443497,150.0,119.0,0.01680672268907563,0.12854671042670887,0.7142857142857143,5.0,0.7142857142857143,0.0,50.0,75.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:44:15.473678
