dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
shuttle,1,36469,29175,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,46400,46400,0.78597,0.78597,,,,,,,,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:16:59.038515
shuttle,2,40,29175,sobremuestreada,insuficientes_filtradas(<k+1),29135,29135,False,False,0,pre_split,0,46400,46400,0.000862,0.000862,40.0,5.0,0.43999999999999995,0.07999999999999999,0.25,2.0,0.4,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:16:59.502486
shuttle,3,137,29175,sobremuestreada,insuficientes_filtradas(<k+1),29038,29038,False,False,0,pre_split,0,46400,46400,0.002953,0.002953,137.0,5.0,0.56,0.07999999999999999,0.2510948905109489,2.0,0.4,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:16:59.991450
shuttle,4,7122,29175,sobremuestreada,insuficientes_filtradas(<k+1),22053,22053,False,False,0,pre_split,0,46400,46400,0.153491,0.153491,7122.0,0.0,,,0.2500140409997192,2.054759898904802,0.4,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:17:08.407767
shuttle,5,2614,29175,sobremuestreada,insuficientes_filtradas(<k+1),26561,26561,False,False,0,pre_split,0,46400,46400,0.056336,0.056336,2614.0,0.0,,,0.25003825554705433,2.0432287681713848,0.4,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:17:11.525379
shuttle,6,8,29175,sobremuestreada,insuficientes_filtradas(<k+1),29167,29167,False,False,0,pre_split,0,46400,46400,0.000172,0.000172,8.0,2.0,0.4,0.0,0.25,2.0,0.35000000000000003,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:17:11.797825
shuttle,7,10,29175,sobremuestreada,insuficientes_filtradas(<k+1),29165,29165,False,False,0,pre_split,0,46400,46400,0.000216,0.000216,10.0,2.0,0.5,0.09999999999999998,0.26,2.0,0.35000000000000003,,75.0,25.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:17:12.060013
