dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
shuttle,1,36469,29175,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,46400,46400,0.78597,0.78597,,,,,,,,,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:10:22.695472
shuttle,2,40,29175,sobremuestreada,ok,29135,29135,False,False,1,pre_split,29135,46400,75535,0.000862,0.386245,40.0,33.0,0.10303030303030304,0.23157543241870063,0.25,2.0,0.0,0.7219280948873623,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:10:30.789758
shuttle,3,137,29175,sobremuestreada,ok,29038,29038,False,False,1,pre_split,29038,46400,104573,0.002953,0.278992,137.0,108.0,0.037037037037037035,0.18885257457751053,0.2510948905109489,2.0,0.0,0.0,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:10:38.410174
shuttle,4,7122,29175,sobremuestreada,ok,22053,22053,False,False,1,pre_split,22053,46400,126626,0.153491,0.230403,7122.0,4474.0,0.0,0.0,0.2500140409997192,2.054759898904802,0.2,0.0,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:10:57.727115
shuttle,5,2614,29175,sobremuestreada,ok,26561,26561,False,False,1,pre_split,26561,46400,153187,0.056336,0.190453,2614.0,1514.0,0.0,0.0,0.25003825554705433,2.0432287681713848,0.2,0.0,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:11:09.108654
shuttle,6,8,29175,sobremuestreada,ok,29167,29167,False,False,1,pre_split,29167,46400,182354,0.000172,0.159991,8.0,8.0,0.45,0.16583123951777,0.25,2.0,0.0,0.9709505944546688,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:11:16.808078
shuttle,7,10,29175,sobremuestreada,insuficientes_filtradas(<k+1),29165,29165,False,False,0,pre_split,0,46400,182354,0.000216,5.5e-05,10.0,5.0,0.52,0.16,0.26,2.0,0.1,0.9709505944546688,50.0,25.0,entropia,PCSMOTE,0.8,42,2d,2025-10-10T14:11:17.075170
