dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,k_pedidos,k_efectivo,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,metric,timestamp
wdbc,0,261,261,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,411,411,0.635036,0.635036,,,,,,,,,7,7,75.0,75.0,entropia,PCSMOTE,1.0,42,euclidean,2025-10-29T23:38:54.055191
wdbc,1,150,261,sobremuestreada,ok,111,111,False,False,1,pre_split,111,411,522,0.364964,0.5,150.0,119.0,0.01680672268907563,0.12854671042670887,0.7142857142857143,5.0,0.7142857142857143,0.0,7,7,75.0,75.0,entropia,PCSMOTE,1.0,42,euclidean,2025-10-29T23:38:54.593078
