dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,metric,timestamp
heart,0,92,73,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,159,159,0.578616,0.578616,,,,,,,,,75.0,50.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:45:18.533287
heart,1,28,73,sobremuestreada,ok,45,45,False,False,1,pre_split,45,159,204,0.176101,0.357843,28.0,28.0,0.7040816326530612,0.2223928032418711,0.5714285714285714,4.0,0.5714285714285714,0.9852281360342515,75.0,50.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:45:18.552671
heart,2,13,73,sobremuestreada,insuficientes_filtradas(<k+1),60,60,False,False,0,pre_split,0,159,204,0.081761,0.063725,13.0,5.0,0.7714285714285715,0.06998542122237648,0.4945054945054945,4.0,0.5714285714285714,0.8631205685666311,75.0,50.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:45:18.564999
heart,3,18,73,sobremuestreada,ok,55,55,False,False,1,pre_split,55,159,259,0.113208,0.281853,18.0,15.0,0.8476190476190476,0.11024606574085928,0.5714285714285714,4.0,0.5714285714285714,0.8631205685666311,75.0,50.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:45:18.577428
heart,4,8,73,sobremuestreada,insuficientes_filtradas(<k+1),65,65,False,False,0,pre_split,0,159,259,0.050314,0.030888,8.0,4.0,0.9285714285714286,0.07142857142857145,0.5,4.0,0.5714285714285714,0.5916727785823274,75.0,50.0,entropia,PCSMOTE,0.8,42,2d,euclidean,2025-10-27T20:45:18.588338
