dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
shuttle,1,36469,29175,no se sobremuestrea,sin_faltante(actual>=objetivo),0,0,False,False,1,pre_split,0,46400,46400,0.78597,0.78597,,,,,,,,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:07:20.064403
shuttle,2,40,29175,sobremuestreada,ok,29135,29135,False,False,1,pre_split,29135,46400,75535,0.000862,0.386245,40.0,7.0,0.45714285714285713,0.0903507902905251,0.5,3.025,0.0,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:07:27.925107
shuttle,3,137,29175,sobremuestreada,ok,29038,29038,False,False,1,pre_split,29038,46400,104573,0.002953,0.278992,137.0,9.0,0.5333333333333333,0.09428090415820631,0.5007299270072992,3.0,0.0,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:07:35.105618
shuttle,4,7122,29175,sobremuestreada,insuficientes_filtradas(<k+1),22053,22053,False,False,0,pre_split,0,46400,104573,0.153491,0.068106,7122.0,1.0,0.4,0.0,0.5000280819994384,3.053355798932884,0.2,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:07:43.168565
shuttle,5,2614,29175,sobremuestreada,ok,26561,26561,False,False,1,pre_split,26561,46400,131134,0.056336,0.222482,2614.0,9.0,0.4888888888888888,0.09938079899999064,0.5,3.0497322111706198,0.0,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:07:52.502335
shuttle,6,8,29175,sobremuestreada,ok,29167,29167,False,False,1,pre_split,29167,46400,160301,0.000172,0.182001,8.0,6.0,0.43333333333333335,0.07453559924999298,0.5,3.0,0.0,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:08:00.693102
shuttle,7,10,29175,sobremuestreada,ok,29165,29165,False,False,1,pre_split,29165,46400,189466,0.000216,0.153985,10.0,6.0,0.4333333333333333,0.07453559924999298,0.5,3.0,0.0,,25.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-10-10T14:08:09.525021
