dataset,clase,train_original,objetivo_balance,estado,motivo_sin_sinteticas,faltante_solicitado,faltante_final,tope_por_clase_aplicado,tope_global_aplicado,objetivo_alcanzado,scaling_strategy,muestras_sinteticas_generadas,total_original,total_resampled,ratio_original,ratio_resampled,n_candidatas,n_filtradas,riesgo_medio,riesgo_std,densidad_media,vecinos_validos_promedio,umbral_densidad,umbral_entropia,percentil_densidad,percentil_riesgo,criterio_pureza,tecnica_sobremuestreo,factor_equilibrio,random_state,modo_espacial,timestamp
glass,1,56,48,no se sobremuestrea,,0,0,False,False,1,pre_split,0,171,171,0.327485,0.327485,,,,,,,,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.151879
glass,2,61,48,no se sobremuestrea,,0,0,False,False,1,pre_split,0,171,171,0.356725,0.356725,,,,,,,,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.151879
glass,3,14,48,sobremuestreada,insuficientes_filtradas(<k+1),34,34,False,False,0,pre_split,0,171,171,0.081871,0.081871,14.0,1.0,0.6,0.0,0.7428571428571428,3.0,1.0,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.156878
glass,5,10,48,sobremuestreada,insuficientes_filtradas(<k+1),38,38,False,False,0,pre_split,0,171,171,0.05848,0.05848,10.0,2.0,0.5,0.09999999999999998,0.08,3.0,0.2,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.163879
glass,6,7,48,sobremuestreada,insuficientes_filtradas(<k+1),41,41,False,False,0,pre_split,0,171,171,0.040936,0.040936,7.0,2.0,0.5,0.09999999999999998,0.34285714285714286,3.0,0.6,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.168878
glass,7,23,48,sobremuestreada,insuficientes_filtradas(<k+1),25,25,False,False,0,pre_split,0,171,171,0.134503,0.134503,23.0,0.0,,,0.6956521739130435,,1.0,,75.0,50.0,proporcion,PCSMOTE,0.8,42,2d,2025-09-11T15:33:55.174882
