dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,cv_gmean_macro,cv_auc_ovr_macro,test_gmean_macro,test_auc_ovr_macro,search_time_sec,n_jobs_search
wdbc,aumentado,pcsmote,50,25,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9742033747646849,0.9731756928553267,0.9489785250818826,0.9484248033395698,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9729758740186615,,0.9511897312113419,0.9914021164021164,0.434,4
wdbc,aumentado,pcsmote,50,25,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9703276832956449,0.9705542842613781,0.9410716777571586,0.9406679748576501,0.9623015873015872,0.9623015873015872,0.9246031746031746,0.9246031746031746,0.970443333675137,,0.9622504486493763,0.9937169312169313,0.452,4
wdbc,aumentado,pcsmote,50,50,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9742033747646849,0.9731756928553267,0.9489785250818826,0.9484248033395698,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9729758740186615,,0.9511897312113419,0.9914021164021164,0.439,4
wdbc,aumentado,pcsmote,50,50,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.964369276544125,0.9640325451309433,0.9292640068219006,0.9287591109097987,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.963854535473148,,0.9690992927215658,0.9947089947089948,0.452,4
wdbc,aumentado,pcsmote,50,75,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9762062487465781,0.9753979150775489,0.9529457492250512,0.9524293829793689,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9752162085499811,,0.9511897312113419,0.9920634920634921,0.44,4
wdbc,aumentado,pcsmote,50,75,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9704093339456875,0.9714416475972542,0.9416009527248009,0.940848351585875,0.9718634306869601,0.9742063492063492,0.9438975339262832,0.9437314906219151,0.971263046893146,,0.9742043287083434,0.9957010582010581,0.485,4
wdbc,aumentado,pcsmote,75,25,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9742033747646849,0.9731756928553267,0.9489785250818826,0.9484248033395698,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9729758740186615,,0.9511897312113419,0.9914021164021164,0.455,4
wdbc,aumentado,pcsmote,75,25,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9703276832956449,0.9705542842613781,0.9410716777571586,0.9406679748576501,0.9623015873015872,0.9623015873015872,0.9246031746031746,0.9246031746031746,0.970443333675137,,0.9622504486493763,0.9937169312169313,0.453,4
wdbc,aumentado,pcsmote,75,50,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9742033747646849,0.9731756928553267,0.9489785250818826,0.9484248033395698,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9729758740186615,,0.9511897312113419,0.9914021164021164,0.443,4
wdbc,aumentado,pcsmote,75,50,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.964369276544125,0.9640325451309433,0.9292640068219006,0.9287591109097987,0.9715828832571666,0.9692460317460317,0.9433397594898876,0.9431704885343968,0.963854535473148,,0.9690992927215658,0.9947089947089948,0.476,4
wdbc,aumentado,pcsmote,75,75,entropia,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9762062487465781,0.9753979150775489,0.9529457492250512,0.9524293829793689,0.9614864864864865,0.9523809523809523,0.9258200997725514,0.9230769230769231,0.9752162085499811,,0.9511897312113419,0.9920634920634921,0.441,4
wdbc,aumentado,pcsmote,75,75,proporcion,513,114,30,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.9704093339456875,0.9714416475972542,0.9416009527248009,0.940848351585875,0.9718634306869601,0.9742063492063492,0.9438975339262832,0.9437314906219151,0.971263046893146,,0.9742043287083434,0.9957010582010581,0.468,4
glass,base,base,NA,NA,NA,149,65,9,False,5,10,SVM,"{'classifier__C': np.float64(0.9643857615941438), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0004207053950287938), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.5372415226099437,0.6035185185185185,0.4019670914261607,0.3750827650806804,0.7073113492271634,0.7770186335403727,0.5993611867568233,0.5619689422795195,0.21710151249779872,,0.7281668342561884,0.8706381720579408,0.191,4
heart,base,base,NA,NA,NA,207,90,13,False,5,10,SVM,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__gamma': np.float64(0.27527173929429377), 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.3516832323990219,0.36546019198193114,0.2992533878722316,0.2914788601750625,0.33088888888888884,0.3367424242424243,0.2521858999493882,0.25087108013937276,0.07381931525612336,,0.2837722371495108,0.7236352067232256,0.669,4
shuttle,base,base,NA,NA,NA,40600,17400,9,True,3,5,SVM,"{'classifier__C': np.float64(1.6601864044243653), 'classifier__class_weight': None, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear', 'classifier__shrinking': True}",0.5844609400357624,0.6386511021665332,0.6899787727623151,0.6471162433562859,0.39293720840212243,0.38794144476891995,0.5207293300496977,0.5161218054475368,0.013970847969693096,,0.00013387476090104844,0.9403877346065864,147.652,1
wdbc,base,base,NA,NA,NA,398,171,30,False,5,10,SVM,"{'classifier__C': np.float64(0.0028381292701126727), 'classifier__class_weight': 'balanced', 'classifier__gamma': np.float64(0.0006290644294586153), 'classifier__kernel': 'linear', 'classifier__shrinking': False}",0.9358106598363929,0.9378620689655172,0.874197548017371,0.8718841698752,0.968479262672811,0.9640771028037383,0.9376499884661174,0.9369794353947077,0.9371904267191586,,0.9637107023152796,0.9938668224299065,0.591,4
