dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search
heart,aumentado,pcsmote,75,75,proporcion,444,60,13,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002912291401980419), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.7022506269873263), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 254}",0.6938099085960896,0.6817978021978022,0.732423042723769,0.7283389813950265,0.28083568605307735,0.2872564935064935,0.3277199753847385,0.32401982875169,12.535,4
shuttle,aumentado,pcsmote,75,25,proporcion,133738,11600,9,True,2,2,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0018727005942368125), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.5825456554397737), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 252}",0.9566407743689691,0.9459708975805774,0.9992424691780992,0.9992423541562915,0.7879951242407459,0.8442539022748553,0.9954052814564323,0.9954017141967171,66.759,1
shuttle,aumentado,pcsmote,75,50,entropia,182352,11600,9,True,2,2,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0018727005942368125), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.5825456554397737), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 252}",0.9893851118877744,0.9817716991373304,0.9993938201013043,0.9993936299179507,0.8705159580294586,0.9281778305167674,0.9947000882416712,0.9946859418716171,98.025,1
shuttle,aumentado,pcsmote,75,50,proporcion,133738,11600,9,True,2,2,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0018727005942368125), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.5825456554397737), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 252}",0.9566774479914377,0.9459719131820391,0.9992905267161916,0.9992903073808788,0.7803071855056078,0.8400033484731042,0.9953997357315747,0.9953983984756423,81.386,1
shuttle,aumentado,pcsmote,75,75,entropia,182352,11600,9,True,2,2,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002229163764267956), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.5261376254756898), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 253}",0.9757522456392389,0.9638890922338399,0.9993542770044546,0.9993540827254725,0.8664723108625177,0.9280662801281618,0.993981556473668,0.9939638004952805,105.643,1
shuttle,aumentado,pcsmote,75,75,proporcion,133738,11600,9,True,2,2,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002229163764267956), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.5261376254756898), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 253}",0.9565689862205156,0.9458422056364849,0.9991083681715027,0.9991080870980693,0.7609510491175995,0.8397313745664109,0.994194927983264,0.9941913996410936,74.755,1
wdbc,aumentado,pcsmote,25,25,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9623378125011914,0.9617137045512332,0.9251687076830857,0.9246906087483721,0.9712773998488284,0.9642857142857143,0.9441549509633318,0.9425981873111783,11.404,4
wdbc,aumentado,pcsmote,25,25,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.9563661320974658,0.9563539282990083,0.9135482770221112,0.9127704985987835,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,12.421,4
wdbc,aumentado,pcsmote,25,50,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002912291401980419), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.7022506269873263), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 254}",0.9585419836586959,0.9586727688787186,0.9178602541161751,0.9171195474198282,0.9521289997480473,0.9454365079365079,0.9058238738943076,0.904330312185297,12.107,4
wdbc,aumentado,pcsmote,25,50,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9546769359802566,0.9560513602847699,0.9102008358542198,0.9093869417172812,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,11.911,4
